ps_id	title	organisation	ministry	category	theme	description_short
26092	AI-Driven Scheme Matching for Marginalized Entrepreneurs	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	Smart Automation	• Background To promote the socio-economic empowerment of the Scheduled Caste (SC) population, the government provides concessional financial assistance and educational loans. Beneficiaries with an
26093	AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	MedTech / BioTech / HealthTech	• Background Victims and complainants belonging to Scheduled Castes and Scheduled Tribes who approach the National Helpline Against Atrocities (14566), Integrated Portal, chatbot, mobile application,
26094	AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	MedTech / BioTech / HealthTech	• Background Victims of atrocities frequently experience prolonged psychological distress after complaint registration due to threats, intimidation, repeated court appearances, delays in
26095	Smart Real-Time Monitoring & Inspection Mobile App	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	Smart Automation	• Problem Statement Develop a centralized mobile application for real-time monitoring, surprise inspections, CCTV surveillance integration, and random inspection assignment for
26096	Digital Heritage Archive for Memorials, Manuscripts & Ambedkar: AI-Powered Institutional Archive and Audio-Visual Knowledge Platform	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Hardware	Smart Education	• Background Dr. B. R. Ambedkarâ€™s writings, speeches, constitutional debates, manuscripts,and historical contributions are spread across libraries, memorials, archives, and fragmented digital
26097	AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	Agriculture, FoodTech & Rural Development	• Background • The Pradhan Mantri Anusuchit Jaati Abhyuday Yojana (PM-AJAY) aims to reduce poverty among Scheduled Caste (SC) communities through livelihood promotion, skill development, and
26098	Development of a Low-Cost Precision Guidance and Smart Electronic Fuze System for a 155 mm Artillery Shell	Ministry of Defence (MoD)	Yantra India Limited, Ambajhari,Nagpur	Hardware	Smart Vehicles	• Problem Title Design and Development of a Precision Guidance Kit with Canard Actuation and Multi-Mode Electronic Fuze for a 155 mm Artillery Shell • Background Conventional 155 mm artillery shells
26099	AI-Driven Standardization and Harmonization of Material Codes Across CPSEs	Ministry of Petroleum & Natural Gas	Chennai Petroleum Corporation Limited(CPCL)	Software	Smart Automation	• Background Central Public Sector Enterprises (CPSEs) operating in sectors such as Oil & Gas, Power, Steel, Mining and Heavy Engineering procure and maintain a large number of similar or
26100	AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement	Ministry of Petroleum & Natural Gas	Chennai Petroleum Corporation Limited(CPCL)	Software	Smart Automation	• Background Government procurement through the Government e-Marketplace (GeM) involves verification of multiple statutory, regulatory and eligibility requirements of bidders. Procurement officers
26101	Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.	MoSPI	Data Informatics & Innovation Division (DIID)	Software	Smart Education	• Background India's statistical system is undergoing rapid technology advancement with increasing adoption of Artificial Intelligence (AI), Machine Learning (ML), Big Data Analytics, GIS, cloud
26102	Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.	MoSPI	Data Informatics & Innovation Division (DIID)	Software	Smart Automation	• Background The Members of Parliament Local Area Development Scheme (MPLADS) is a Central Sector Scheme under which Hon'ble Members of Parliament recommend developmental works for creation of
26103	Use case on web-based integrated project-monitoring platform	MoSPI	Data Informatics & Innovation Division (DIID)	Software	Smart Automation	• Background The Infrastructure & Project Monitoring Division (IPMD), Ministry of Statistics and Programme Implementation (MoSPI) monitors the Central Sector Infrastructure Projects costing ?150
26104	AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks	All India Council for Technical Education (AICTE)	Cyber Security Cell	Software	Blockchain & Cybersecurity	• Background Recent advancements in generative AI and neural speech synthesis have made high-fidelity voice cloning possible from only a few seconds of recorded audio. Threat actors are exploiting
26105	AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform	All India Council for Technical Education (AICTE)	Cyber Security Cell	Software	Blockchain & Cybersecurity	• Background Enterprises and institutions invest heavily in cybersecurity tools, compliance programs, and risk management initiatives, yet cyber risk is still predominantly communicated using
26106	AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform	All India Council for Technical Education (AICTE)	Cyber Security Cell	Software	Blockchain & Cybersecurity	• Background Email continues to be one of the most widely used communication channels in government, education, banking,and enterprise ecosystems. However, it also remains one of the most exploited
26107	Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Smart Automation	• Background The Bureau of Indian Standards publishes thousands of Indian Standards and provides various services such as product certification, hallmarking, laboratory recognition, Standards Clubs,
26108	AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Smart Automation	• Background Government departments, Public Sector Enterprises (PSES),procurement agencies, and private organizations procure a wide range of products and services through e-procurement portals.
26109	Al-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in lndian Dairy Farms	Ministry of Fisheries, Animal Husbandry & Dairying	Department of Animal Husbandry & Dairying	Hardware	Agriculture, FoodTech & Rural Development	• Background Bovine mastitis is one of the most prevalent and economically significant diseases affecting dairy cattle and buffaloes in lndia. The disease adversely impacts milk production, milk
26110	Development of a Low-Cost Light-weight Milk Chilling Can for Small-Scale Dairy Farmers	Ministry of Fisheries, Animal Husbandry & Dairying	Department of Animal Husbandry & Dairying	Hardware	Agriculture, FoodTech & Rural Development	• Background Milk is a highly perishable agricultural product that begins to deteriorate rapidly after milking due to bacterial growth and enzymatic activity. ln many rural and remote dairy-producing
26111	Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers	Ministry of Fisheries, Animal Husbandry & Dairying	Department of Animal Husbandry & Dairying	Software	Agriculture, FoodTech & Rural Development	• Background Animal nutrition directly affects milk production, animal health, reproductive performance, and dairy profitability. Dairy farmers often face challenges due to poor-quality cattle
26112	Design and Develop a Modular Autonomous Mobile Robot (AMR) Platform for Smart Warehouse Automation	Autodesk	Autodesk Education Experience	Hardware	Robotics and Drones	• Description Research and develop a concept design of a warehouse automation robot platform and a modular attachment for it, using Autodesk Fusion. Re-imagine their design and optimize for additive
26113	Human augmentation technologies are transforming healthcare,rehabilitation, industrial ergonomics, assistive living, sports, and personal mobility by improving human capabilities and enhancing quality of life.	Autodesk	Autodesk Education Experience	Hardware	MedTech / BioTech / HealthTech	• Description Students are required to conceptualize a Human Augmentation device or assembly of their choice using Autodesk Fusion. The design should reflect original thinking and real-world
26114	Smart City Site Planning using Autodesk Forma Site Design	Autodesk	Autodesk Education Experience	Software	Miscellaneous	• Description • Students are tasked with designing a Smart City using Forma Site Design for effective site design for adding details to the buildings in the site. • The Site area selected must have
26115	Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System	Autodesk	Autodesk Education Experience	Software	MedTech / BioTech / HealthTech	• Description Healthcare facilities generate large volumes of biomedical waste that require safe, compliant, and efficient handling. Manual collection and segregation increase the risk of
26116	Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units).	Autodesk	Autodesk Education Experience	Software	Miscellaneous	• Description • Facade-Driven Architectural Expression-Develop an innovative facade system that enhances architectural aesthetics, responds to climate (light, heat, ventilation), and blends with the
26117	Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work	Mangalore Refinery and Petrochemicals Limited (MRPL)	Mangalore Refinery and Petrochemicals Limited (MRPL)	Software	Smart Automation	• Background Refineries, PSUs, defence-linked manufacturing units and government offices generate a lot of routine but sensitive knowledge work. Approval notes, board presentations, engineering
26118	Passive Colorimetric H2S Exposure-Dosimeter Wristband with AI-Based Quantitative Reading	Mangalore Refinery and Petrochemicals Limited (MRPL)	Mangalore Refinery and Petrochemicals Limited (MRPL)	Hardware	Smart Automation	• Background Workers in oil and gas operations face chronic low-level H2S exposure. Standard electronic gas detectors miss this risk because they only report instantaneous ppm, and they need
26119	Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX)	Mangalore Refinery and Petrochemicals Limited (MRPL)	Mangalore Refinery and Petrochemicals Limited (MRPL)	Software	Smart Automation	• Background Almost every optimization problem in India's refining, petrochemical, power, logistics, manufacturing and planning sectors ultimately depends on a handful of foreign mathematical
26120	Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.	Oil India Limited	Oil India Limited	Software	Smart Automation	• Background Baghewala Field in Rajasthan produces heavy crude oil (17â€“19Â° API) from the Jodhpur Sandstone reservoir. The reservoir is characterized by High crude viscosity, High asphaltene
26121	eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations	Oil India Limited	Oil India Limited	Software	Smart Automation	• Background Oil India Limited has a digital real-time monitoring system (eRTMAC) that provides real-time drilling data, mud logging information, and wellsite analytics across operational areas.
26122	Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge)	Oil India Limited	Oil India Limited	Software	Smart Automation	• Background Infrastructure project schedules cascade from macro milestones (L1) down to micro, executable activities (L5/L6),spanning multiple engineering disciplines - civil, piping,
26123	Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses	Bharat Electronics Limited	Bharat Electronics Limited	Software	Smart Automation	• Background Modern smart warehouses rely on fleets of Autonomous Mobile Robots (AMRs) to move goods efficiently. As fleet sizes grow, relying entirely on a centralized cloud server for path planning
26124	AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet	Bharat Electronics Limited	Bharat Electronics Limited	Software	Smart Automation	• Background Urban public transport buses traverse almost every major road in a city every day. Modern buses are increasingly equipped with multiple cameras covering the front, rear, sides, and
26125	Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management	Bharat Electronics Limited	Bharat Electronics Limited	Software	Blockchain & Cybersecurity	• Background Organizations today rely heavily on centralized identity and access management systems, which create significant security and operational risks. These systems are vulnerable to cyber
26126	Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment	Bharat Electronics Limited	Bharat Electronics Limited	Software	Smart Automation	• Background Outdoor Unmanned Ground Vehicles (UGVs) face unpredictable terrain, changing light, and unreliable GPS signals. To achieve true autonomy in applications like
26127	City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics	Bharat Electronics Limited	Bharat Electronics Limited	Software	Smart Automation	• Background Modern urban centers deploy vast networks of CCTV and Automatic Number Plate Recognition(ANPR) cameras to manage traffic, enforce traffic laws, and maintain public security. However,most
26128	Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	MedTech / BioTech / HealthTech	• Problem Description Livestock owners, field veterinarians,para-veterinary workers and government departments often lack a unified, realtime mechanism to identify emerging animal-health risks at the
26129	System integration and interoperability among government digital platforms,resulting in fragmented service delivery	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Miscellaneous	• Problem Description Government departments operate multiple portals, mobile applications,registries, workflow systems and databases that have often been developed independently. Differences in data
26130	Efficiency in streamlining industrial approvals,compliance processes,and access to government support services	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Miscellaneous	• Problem Description Entrepreneurs and industrial units may need to obtain multiple registrations,permissions, licences, no-objection certificates, inspections and renewals from different
26131	Early detection and management of crop diseases and pest infestations	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Agriculture, FoodTech & Rural Development	• Problem Description Farmers often recognise crop diseases or pest infestations only after visible damage has spread. Extension staff may cover large areas, while laboratory diagnosis and expert
26132	Strengthening market linkages and price discovery for farmers	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Agriculture, FoodTech & Rural Development	• Problem Description Many farmers, especially smallholders and producer groups, have limited visibility of current and expected prices across nearby markets, processors,institutional buyers and
26133	Accessibility and quality of public healthcare services,particularly in rural and underserved areas	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	MedTech / BioTech / HealthTech	• Problem Description Rural and underserved communities may face long travel distances,shortages of specialists, irregular diagnostics, fragmented medical records, delayed referrals and limited
26134	Challenges in aligning skill development programs with industry requirements and emerging job market demands	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Miscellaneous	• Problem Description Skill-development programmes may be designed using broad or historical occupation categories that do not fully reflect changing technologies, local industry demand, job roles,
26135	Difficulties in tracking employment outcomes,skill gaps, and the impact of skilling initiatives	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Miscellaneous	• Problem Description Training systems frequently capture enrolment, attendance, assessment and certification, but reliable information on employment, self-employment, job retention, wage
26136	Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups	Government Of Maharashtra	Maharashtra State Innovation Society, Department of Skills, Employment, Entrepreneurship and Innovation	Software	Miscellaneous	• Problem Description Government departments often face operational problems that could benefit from innovative startup solutions, but conventional procurement processes are generally designed for
26137	Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization	Egreen Quanta	Egreen Quanta	Software	Transportation & Logistics	Background Modern urban transportation networks face persistent challenges of traffic congestion, inefficient route planning, and high operational costs. Classical optimization techniques struggle
26138	Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization	Egreen Quanta	Egreen Quanta	Software	Clean & Green Technology	Background The maritime and logistics industries are under increasing pressure to reduce greenhouse gas emissions while maintaining operational efficiency and cost-effectiveness. Fuel consumption
26139	Hybrid Quantum Machine Learning Platform for Early Disease Detection	Egreen Quanta	Egreen Quanta	Software	MedTech / BioTech / HealthTech	Background Early and accurate detection of diseases significantly improves treatment outcomes and reduces healthcare costs. Classical machine learning models have achieved notable success in medical
26140	AI-Based Interactive Quantum Algorithm Learning Platform	Egreen Quanta	Egreen Quanta	Software	Smart Education	Background Quantum computing is a transformative technology with significant impact across scientific and industrial domains. However, education in this field remains challenging due to the abstract
26141	Quantum-Inspired Cyber Threat Detection for Digital Signature Security	Egreen Quanta	Egreen Quanta	Software	Blockchain & Cybersecurity	Background The rapid advancement of quantum computing poses a serious threat to classical public-key cryptographic systems such as RSA and Elliptic Curve Cryptography (ECC), which can be broken by
26142	Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Space Technology	• Background Medium-resolution satellite imagery, typically ranging from 10 to 30 meters, is widely used in change detection, agriculture, land-cover mapping, disaster monitoring, and urban planning
26143	Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Disaster Management	• Background Marine oil spills inflict great damage on marine ecosystems and several times remains un-attributable to the vessel causing such spills. Leveraging satellite imagery along with AIS data
26144	Design & Development of a High-Sensitivity Micro barometer Infrasound sensor	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Hardware	Smart Automation	• Background The Infrasound sensors are precision instruments designed to detect and measure low frequency atmospheric pressure waves, known as infrasound, that fall below the range of human hearing,
26145	AI-Based Detection of Cyber Threats in Unidirectional IP Traffic	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Critical-infrastructure operators observe their gateway and peering links using passive mirroring or hardware data diodes that copy traffic into a monitoring enclave in one direction
26146	AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Bitcoin's pseudonymous, peer-to-peer design lets criminal actors move, layer, and cash out illicit funds â€” ransomware payments, darknet-market proceeds, extortion, and laundering â€”
26147	Automated model for analysis of .IQ and .wav files along with signal parameter extraction	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Space Technology	• Background The raw data for analysis of signal collected off the air typically range from few Khz to Ghz bands. The analysis is being carried out manually to identify the signal parameters and the
26148	Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Modern antivirus solutions restrict proprietary software from executing or creating custom scripts designed to analyze the system for deep forensic system analysis. They rely heavily on
26149	Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background With the rapid growth of digital storage technologies, organizations, government agencies, law enforcement units, enterprises, and individual users face two major challenges: securely
26150	Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence.	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Digital/Network Video Recorders (DVR/NVRs) are widely used for surveillance in government agencies, law enforcement, critical infrastructure, businesses, and residential environments.
26151	Dark web threat actor de-anonymization	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background The dark web has become a preferred operating space for threat actors in the modern age, mainly because it lets them hide their identity behind Tor hidden services, which makes
26152	Social Media Analytics	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Social media platforms are complex ecosystems driven by human emotion, diverse demographics, and interconnected networks. To truly understand an online community, it is required look
26153	AI based Network Attack Forecasting from Network Traffic Data	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background This challenge seeks AI systems capable of learning network behaviour, anticipating attacker progression and supporting proactive cyber defence using the emerging concept of World
26154	Gen AI Platform for Automated Content Transformation	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Organisations frequently need to convert information available in different forms such as news articles, reports, advisories, threat intelligence, policy documents, research papers,
26155	AI-Driven Multi-Vendor Network Security Compliance Auditor	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Modern enterprise networks are inherently heterogeneous, consisting of a vast array of hardware from diverse vendors. Organizations are mandated to align these devices with rigorous
26156	Universal Log Pre-processing Framework	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Modern enterprises generate massive volumes of logs from a wide range of sources, including network devices, servers, operating systems, applications, databases, cloud services,
26157	Supervisory Analytics Tool for SOC Assessment (SAT-SA)	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	Background: The National Critical Information Infrastructure Protection Centre (NCIIPC) assesses the cyber resilience of Critical Sector Entities (CSEs). As part of these assessments, NCIIPC performs
26158	Single-Pass Drone Video to Accurate 3D Model Generation System	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Robotics and Drones	• Background: Generation of accurate 3D models of buildings, infrastructure, terrain, and objects typically requires multiple drone passes, extensive image overlap, specialized flight planning, and
26159	SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Electronic mail remains one of the most critical communication services for governments, enterprises, financial institutions, and academic organizations. Despite the widespread adoption
26160	AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Virtual Private Networks (VPNs) are fundamental to secure communication over untrusted networks. Among the available VPN technologies, IPsec is widely adopted across enterprise,
26161	Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Disaster Management	• Background In India, due to natural disaster various natural dam / lake formations were observed which can be a major reason of flash flood in the lower catchment, for example, natural lake formed
26162	AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Disaster Management	• Background Industrial facilities generate thermal signatures that can be observed from space, but current satellite-based monitoring systems like NASA FIRMS cannot distinguish between different
26163	Security Assessment of the World Monitor application	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Smart Automation	• Background The world Monitor application is a Web/ Mobile platform that provides users with real-time monitoring, analytics, and reporting features. The application handles user authentication,
26164	Enterprise Cryptographic Discovery & Analysis Tool (ECDAT)	National Technical Research Organisation (NTRO)	National Technical Research Organisation (NTRO)	Software	Blockchain & Cybersecurity	• Background Transitioning to Post Quantum Cryptography based solutions requires preparedness, risk assessment and financial and operational investment. Towards this, discovery and inventory of
26165	AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports	Oil India Limited	Oil India Limited	Software	Smart Automation	• Background OIL collects large volumes of UA/UC observations, near-miss and incident reports through its HSSE platform but these are triaged manually after certain time intervals such as monthly,
26166	Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Space Technology	Background Image Registration is the process of aligning two or more images of the same scene taken at different times, from different viewpoints, or by different sensors into a common coordinate
26167	SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Space Technology	Background Remote-sensing imagery is widely used for agricultural monitoring, disaster management, urban planning, forest monitoring, water-resource assessment, infrastructure mapping, and
26168	AI-ML based Intelligent Dead Reckoning system for seamless navigation	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Smart Vehicles	Background Vehicle logistics, ride-hailing services, quick commerce and emergency responders heavily rely on smartphone-based navigation apps (like Google Maps or MapmyIndia) powered by GNSS
26169	Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Smart Automation	Background Free Space Optical Communication (FSOC) offers unprecedented advantages for next-generation mobile networks, including gigabit-to-terabit data rates, license-free spectrum operation, high
26170	AI-Driven Anomaly Detection in Component Burn-In & Screening	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Smart Automation	Background In high-reliability sectors (like space) electronic components undergo rigorous environmental stress screening (ESS), including Burn-In testing (operating components at elevated
26171	On-device Visual Perception for Light-weight Browser Agents	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Smart Automation	Background AI agents are becoming omnipresent in the current era and can play an important role in our digital interactions. If an agentic AI pipeline has access to our visual context, screen states,
26172	Low Latency and Efficient Voice Activator for Edge Devices	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Hardware	Smart Automation	Background As voice-controlled IoT proliferate, processing everything in the cloud is too costly, privacy-invasive, and slow. The future belongs to hybrid architectures where the edge handles the
26173	iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Smart Automation	Background As vocal audio information is very data intensive making it difficult to transmit through low data rate links. In alert and distress based scenarios Transmitting Audio information is
26174	AI Human Activity Recognition for On-board BAS Experiments	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Space Technology	Background As humanity aims for space missions such as BAS and lunar missions, real-time ground support becomes impossible due to communication delays. An AI-based HAR system acts as an on-board
26175	DepthWizard - Single-View Height Estimation and 3D Flythrough	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Disaster Management	Background Accurate Digital Elevation Models (DEMs) and Digital Surface Models (DSMs) are fundamental to urban planning, disaster management, and military reconnaissance. Traditionally, elevation
26176	ORCA Marine EcOsystem Reasoning with Collaborative Agents	Indian Space Research Organisation(ISRO)	Department of Space / Indian Space Research Organisation	Software	Disaster Management	Background The marine ecosystem plays a vital role in supporting livelihoods, food security, biodiversity, maritime transportation, coastal resilience, and the blue economy. Every day, vast volumes
26177	A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time.	Qualcomm Inc	Qualcomm Inc	Hardware	Robotics and Drones	Background India is highly vulnerable to natural disasters including floods, cyclones,earthquakes, landslides, and flash floods, which often result in damaged infrastructure, inaccessible terrain,
26178	A resilient, AI-powered environmental monitoring network that provides early detection, localized intelligence, and actionable alerts for floods, forest fires, pollution events, and other environmental hazards common in India, enabling authorities and communities to shift from reactive disaster response to proactive risk prevention.	Qualcomm Inc	Qualcomm Inc	Hardware	Disaster Management	Background India faces a growing range of environmental and climate-related risks including urban flooding, river floods, cyclones, forest fires, air pollution, droughts, landslides, and extreme
26179	To build an AI-powered retail intelligence platform that delivers real-time shopper analytics, automated inventory visibility, and proactive queue management through on-device AI,enabling retailers to reduce stock-outs, improve customer experience, optimize staffing, and increase operational efficiency while maintaining privacy and minimizing cloud dependency.	Qualcomm Inc	Qualcomm Inc	Hardware	Miscellaneous	Background India's retail sector includes millions of neighborhood stores, supermarkets,pharmacies, and large-format retail outlets that serve high customer volumes every day. Retailers face
26180	A field-deployable AI-powered Smart Farming Assistant that helps farmers detect crop diseases, pests, nutrient deficiencies, and irrigation needs at an early stage, while improving resilience against droughts, floods, heat waves, and other agricultural risks common in India. The solution should enable higher yields, lower input costs, more efficient water usage, and faster response to emerging threats through real-time on-device intelligence.	Qualcomm Inc	Qualcomm Inc	Hardware	Agriculture, FoodTech & Rural Development	Background Agriculture remains a primary livelihood for millions of people in India, but farmers face recurring challenges from droughts, erratic rainfall, floods, pest infestations, crop diseases,
26181	A secure, AI-powered Personal Health Companion that delivers real-time, privacy-preserving health monitoring and early warning capabilities, helping individuals recognize health risks before they become emergencies. The solution should improve resilience during heat waves, floods, pollution events, and other disasters common in India while enabling continuous health support through on-device intelligence.	Qualcomm Inc	Qualcomm Inc	Hardware	MedTech / BioTech / HealthTech	Background India faces recurring public health challenges during and after disasters such as heat waves, floods, cyclones, air pollution events, disease outbreaks, and extreme weather conditions.
26182	Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs	Ministry of Home Affairs	Indian Cyber Crime Coordination Centre (I4C),CIS Division	Software	Blockchain & Cybersecurity	• Background The rapid adoption of Virtual Digital Assets (VDAs) and decentralized blockchain ecosystems has significantly increased the complexity of cybercrime investigations globally. Law
